Day,柏安~Derek~
02/01/2016,94
02/02/2016,56
02/03/2016,45
02/04/2016,19
02/05/2016,0
02/06/2016,10
02/07/2016,9
02/08/2016,7
02/09/2016,4
02/10/2016,45
02/11/2016,12
02/12/2016,29
02/13/2016,28
02/14/2016,7
02/15/2016,68
02/16/2016,4
02/17/2016,0
02/18/2016,0
02/19/2016,1
02/20/2016,0
02/21/2016,3
02/22/2016,0
02/23/2016,0
02/24/2016,42
02/25/2016,1
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,23
03/06/2016,0
03/07/2016,44
03/08/2016,0
03/09/2016,0
03/10/2016,2
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,12
03/16/2016,16
03/17/2016,3
03/18/2016,20
03/19/2016,11
03/20/2016,0
03/21/2016,45
03/22/2016,30
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,4
03/27/2016,13
03/28/2016,101
03/29/2016,51
03/30/2016,34
03/31/2016,2
04/01/2016,29
04/02/2016,99
04/03/2016,133
04/04/2016,254
04/05/2016,324
04/06/2016,385
04/07/2016,382
04/08/2016,285
04/09/2016,155
04/10/2016,218
04/11/2016,327
04/12/2016,372
04/13/2016,417
04/14/2016,326
04/15/2016,151
04/16/2016,167
04/17/2016,55
04/18/2016,82
04/19/2016,144
04/20/2016,86
04/21/2016,232
04/22/2016,117
04/23/2016,134
04/24/2016,58
04/25/2016,28
04/26/2016,24
04/27/2016,32
04/28/2016,6
04/29/2016,68
04/30/2016,157
