Day,Yun-Chen
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,103
03/25/2016,192
03/26/2016,77
03/27/2016,60
03/28/2016,83
03/29/2016,147
03/30/2016,128
03/31/2016,171
04/01/2016,240
04/02/2016,133
04/03/2016,253
04/04/2016,228
04/05/2016,353
04/06/2016,375
04/07/2016,486
04/08/2016,349
04/09/2016,145
04/10/2016,119
04/11/2016,282
04/12/2016,382
04/13/2016,380
04/14/2016,573
04/15/2016,193
04/16/2016,319
04/17/2016,524
04/18/2016,494
04/19/2016,302
04/20/2016,379
04/21/2016,558
04/22/2016,569
04/23/2016,247
04/24/2016,181
04/25/2016,524
04/26/2016,525
04/27/2016,367
04/28/2016,271
04/29/2016,403
04/30/2016,330
