Day,Yun-Chen
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,103
03/25/2016,192
03/26/2016,77
03/27/2016,60
03/28/2016,83
03/29/2016,147
03/30/2016,128
03/31/2016,171
04/01/2016,240
04/02/2016,133
04/03/2016,253
04/04/2016,228
04/05/2016,353
04/06/2016,375
04/07/2016,486
04/08/2016,349
04/09/2016,145
04/10/2016,119
04/11/2016,282
04/12/2016,382
04/13/2016,380
04/14/2016,573
04/15/2016,193
04/16/2016,332
04/17/2016,524
04/18/2016,494
04/19/2016,302
04/20/2016,379
04/21/2016,558
04/22/2016,569
04/23/2016,247
04/24/2016,181
04/25/2016,524
04/26/2016,525
04/27/2016,367
04/28/2016,271
04/29/2016,403
04/30/2016,397
05/01/2016,223
05/02/2016,385
05/03/2016,388
05/04/2016,219
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,0
05/09/2016,0
05/10/2016,0
05/11/2016,0
05/12/2016,0
05/13/2016,0
05/14/2016,0
05/15/2016,0
05/16/2016,0
05/17/2016,0
05/18/2016,0
05/19/2016,0
05/20/2016,0
05/21/2016,0
05/22/2016,0
05/23/2016,0
05/24/2016,0
05/25/2016,0
05/26/2016,0
05/27/2016,0
05/28/2016,0
05/29/2016,0
05/30/2016,0
05/31/2016,0
06/01/2016,278
06/02/2016,216
06/03/2016,458
06/04/2016,336
06/05/2016,99
06/06/2016,1
06/07/2016,493
06/08/2016,198
06/09/2016,135
06/10/2016,291
06/11/2016,439
06/12/2016,244
06/13/2016,309
06/14/2016,233
06/15/2016,359
06/16/2016,299
06/17/2016,212
06/18/2016,188
06/19/2016,133
06/20/2016,307
06/21/2016,326
06/22/2016,187
06/23/2016,416
06/24/2016,199
06/25/2016,169
06/26/2016,75
06/27/2016,54
06/28/2016,2
06/29/2016,329
06/30/2016,313
07/01/2016,125
07/02/2016,151
07/03/2016,47
07/04/2016,85
07/05/2016,265
07/06/2016,143
07/07/2016,82
07/08/2016,72
07/09/2016,98
07/10/2016,34
07/11/2016,68
07/12/2016,90
07/13/2016,62
07/14/2016,306
07/15/2016,175
07/16/2016,193
07/17/2016,141
07/18/2016,9
07/19/2016,146
07/20/2016,471
07/21/2016,163
07/22/2016,118
07/23/2016,83
07/24/2016,157
07/25/2016,116
07/26/2016,237
07/27/2016,211
07/28/2016,78
07/29/2016,82
07/30/2016,108
07/31/2016,99
08/01/2016,129
08/02/2016,165
08/03/2016,144
08/04/2016,94
08/05/2016,36
08/06/2016,72
08/07/2016,73
08/08/2016,0
08/09/2016,0
08/10/2016,0
08/11/2016,0
08/12/2016,0
08/13/2016,0
08/14/2016,0
08/15/2016,0
08/16/2016,0
08/17/2016,0
08/18/2016,0
08/19/2016,0
08/20/2016,0
08/21/2016,0
08/22/2016,0
08/23/2016,0
08/24/2016,0
08/25/2016,0
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,0
08/30/2016,0
08/31/2016,0
