Day,白梨
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,7
02/06/2016,4
02/07/2016,2
02/08/2016,4
02/09/2016,3
02/10/2016,3
02/11/2016,1
02/12/2016,12
02/13/2016,7
02/14/2016,1
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,2
02/19/2016,8
02/20/2016,0
02/21/2016,5
02/22/2016,6
02/23/2016,0
02/24/2016,1
02/25/2016,0
02/26/2016,1
02/27/2016,4
02/28/2016,2
02/29/2016,4
03/01/2016,0
03/02/2016,0
03/03/2016,3
03/04/2016,0
03/05/2016,7
03/06/2016,0
03/07/2016,18
03/08/2016,0
03/09/2016,2
03/10/2016,5
03/11/2016,6
03/12/2016,1
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,2
03/18/2016,5
03/19/2016,2
03/20/2016,9
03/21/2016,0
03/22/2016,1
03/23/2016,15
03/24/2016,9
03/25/2016,3
03/26/2016,0
03/27/2016,4
03/28/2016,3
03/29/2016,5
03/30/2016,0
03/31/2016,2
04/01/2016,0
04/02/2016,28
04/03/2016,18
04/04/2016,41
04/05/2016,0
04/06/2016,18
04/07/2016,33
04/08/2016,13
04/09/2016,14
04/10/2016,8
04/11/2016,16
04/12/2016,5
04/13/2016,21
04/14/2016,24
04/15/2016,62
04/16/2016,34
04/17/2016,47
04/18/2016,29
04/19/2016,35
04/20/2016,30
04/21/2016,6
04/22/2016,12
04/23/2016,1
04/24/2016,13
04/25/2016,0
04/26/2016,5
04/27/2016,29
04/28/2016,1
04/29/2016,1
04/30/2016,24
05/01/2016,45
05/02/2016,10
05/03/2016,4
05/04/2016,55
05/05/2016,42
05/06/2016,15
05/07/2016,30
05/08/2016,17
05/09/2016,11
05/10/2016,23
05/11/2016,29
05/12/2016,17
05/13/2016,4
05/14/2016,25
05/15/2016,9
05/16/2016,3
05/17/2016,4
05/18/2016,0
05/19/2016,12
05/20/2016,4
05/21/2016,0
05/22/2016,0
05/23/2016,11
05/24/2016,0
05/25/2016,1
05/26/2016,9
05/27/2016,0
05/28/2016,0
05/29/2016,0
05/30/2016,3
05/31/2016,0
06/01/2016,8
06/02/2016,11
06/03/2016,0
06/04/2016,2
06/05/2016,23
06/06/2016,0
06/07/2016,7
06/08/2016,0
06/09/2016,0
06/10/2016,61
06/11/2016,54
06/12/2016,62
06/13/2016,10
06/14/2016,42
06/15/2016,7
06/16/2016,15
06/17/2016,42
06/18/2016,16
06/19/2016,21
06/20/2016,15
06/21/2016,86
06/22/2016,22
06/23/2016,32
06/24/2016,13
06/25/2016,11
06/26/2016,18
06/27/2016,13
06/28/2016,0
06/29/2016,6
06/30/2016,7
