Day,Joanne
02/01/2016,115
02/02/2016,80
02/03/2016,52
02/04/2016,157
02/05/2016,40
02/06/2016,20
02/07/2016,4
02/08/2016,2
02/09/2016,7
02/10/2016,20
02/11/2016,14
02/12/2016,0
02/13/2016,5
02/14/2016,2
02/15/2016,12
02/16/2016,6
02/17/2016,9
02/18/2016,17
02/19/2016,33
02/20/2016,1
02/21/2016,13
02/22/2016,17
02/23/2016,16
02/24/2016,43
02/25/2016,44
02/26/2016,15
02/27/2016,5
02/28/2016,1
02/29/2016,1
03/01/2016,10
03/02/2016,32
03/03/2016,10
03/04/2016,83
03/05/2016,4
03/06/2016,0
03/07/2016,135
03/08/2016,147
03/09/2016,53
03/10/2016,102
03/11/2016,43
03/12/2016,18
03/13/2016,1
03/14/2016,38
03/15/2016,33
03/16/2016,11
03/17/2016,109
03/18/2016,95
03/19/2016,40
03/20/2016,8
03/21/2016,251
03/22/2016,177
03/23/2016,285
03/24/2016,181
03/25/2016,159
03/26/2016,11
03/27/2016,46
03/28/2016,170
03/29/2016,80
03/30/2016,74
03/31/2016,44
04/01/2016,106
04/02/2016,58
04/03/2016,68
04/04/2016,80
04/05/2016,112
04/06/2016,183
04/07/2016,172
04/08/2016,120
04/09/2016,127
04/10/2016,190
04/11/2016,357
04/12/2016,477
04/13/2016,494
04/14/2016,106
04/15/2016,105
04/16/2016,94
04/17/2016,205
04/18/2016,214
04/19/2016,372
04/20/2016,377
04/21/2016,250
04/22/2016,402
04/23/2016,189
04/24/2016,79
04/25/2016,469
04/26/2016,265
04/27/2016,127
04/28/2016,241
04/29/2016,226
04/30/2016,217
05/01/2016,169
05/02/2016,128
05/03/2016,194
05/04/2016,351
05/05/2016,142
05/06/2016,163
05/07/2016,102
05/08/2016,36
05/09/2016,195
05/10/2016,167
05/11/2016,207
05/12/2016,100
05/13/2016,150
05/14/2016,54
05/15/2016,57
05/16/2016,318
05/17/2016,227
05/18/2016,257
05/19/2016,138
05/20/2016,113
05/21/2016,32
05/22/2016,193
05/23/2016,263
05/24/2016,331
05/25/2016,341
05/26/2016,279
05/27/2016,140
05/28/2016,37
05/29/2016,35
05/30/2016,245
05/31/2016,616
06/01/2016,387
06/02/2016,385
06/03/2016,374
06/04/2016,403
06/05/2016,193
06/06/2016,6
06/07/2016,464
06/08/2016,70
06/09/2016,120
06/10/2016,251
06/11/2016,136
06/12/2016,100
06/13/2016,229
06/14/2016,224
06/15/2016,445
06/16/2016,151
06/17/2016,102
06/18/2016,175
06/19/2016,124
06/20/2016,113
06/21/2016,157
06/22/2016,88
06/23/2016,146
06/24/2016,89
06/25/2016,178
06/26/2016,53
06/27/2016,115
06/28/2016,27
06/29/2016,159
06/30/2016,322
07/01/2016,223
07/02/2016,69
07/03/2016,61
07/04/2016,102
07/05/2016,100
07/06/2016,217
07/07/2016,54
07/08/2016,38
07/09/2016,47
07/10/2016,48
07/11/2016,33
07/12/2016,43
07/13/2016,89
07/14/2016,102
07/15/2016,62
07/16/2016,29
07/17/2016,3
07/18/2016,2
07/19/2016,144
07/20/2016,372
07/21/2016,112
07/22/2016,138
07/23/2016,59
07/24/2016,98
07/25/2016,218
07/26/2016,182
07/27/2016,87
07/28/2016,17
07/29/2016,70
07/30/2016,106
07/31/2016,14
08/01/2016,90
08/02/2016,149
08/03/2016,74
08/04/2016,42
08/05/2016,1
08/06/2016,19
08/07/2016,88
08/08/2016,69
08/09/2016,112
08/10/2016,32
08/11/2016,32
08/12/2016,90
08/13/2016,1
08/14/2016,84
08/15/2016,5
08/16/2016,205
08/17/2016,58
08/18/2016,39
08/19/2016,27
08/20/2016,34
08/21/2016,15
08/22/2016,102
08/23/2016,129
08/24/2016,64
08/25/2016,63
08/26/2016,95
08/27/2016,9
08/28/2016,0
08/29/2016,251
08/30/2016,57
08/31/2016,71
09/01/2016,37
09/02/2016,2
09/03/2016,45
09/04/2016,7
09/05/2016,121
09/06/2016,48
09/07/2016,92
09/08/2016,78
09/09/2016,68
09/10/2016,85
09/11/2016,35
09/12/2016,56
09/13/2016,80
09/14/2016,109
09/15/2016,107
09/16/2016,29
09/17/2016,101
09/18/2016,66
09/19/2016,276
09/20/2016,239
09/21/2016,23
09/22/2016,305
09/23/2016,84
09/24/2016,52
09/25/2016,135
09/26/2016,35
09/27/2016,89
09/28/2016,22
09/29/2016,29
09/30/2016,73
