Day,群組水量
02/01/2016,784
02/02/2016,511
02/03/2016,620
02/04/2016,967
02/05/2016,445
02/06/2016,363
02/07/2016,417
02/08/2016,158
02/09/2016,244
02/10/2016,480
02/11/2016,322
02/12/2016,312
02/13/2016,586
02/14/2016,390
02/15/2016,849
02/16/2016,363
02/17/2016,246
02/18/2016,324
02/19/2016,559
02/20/2016,200
02/21/2016,368
02/22/2016,542
02/23/2016,607
02/24/2016,303
02/25/2016,352
02/26/2016,284
02/27/2016,176
02/28/2016,38
02/29/2016,61
03/01/2016,134
03/02/2016,815
03/03/2016,227
03/04/2016,528
03/05/2016,132
03/06/2016,307
03/07/2016,1201
03/08/2016,1111
03/09/2016,1097
03/10/2016,936
03/11/2016,387
03/12/2016,287
03/13/2016,161
03/14/2016,575
03/15/2016,530
03/16/2016,276
03/17/2016,698
03/18/2016,571
03/19/2016,403
03/20/2016,157
03/21/2016,1510
03/22/2016,890
03/23/2016,2028
03/24/2016,1209
03/25/2016,1540
03/26/2016,730
03/27/2016,845
03/28/2016,1655
03/29/2016,1541
03/30/2016,951
03/31/2016,1256
04/01/2016,1391
04/02/2016,1102
04/03/2016,1609
04/04/2016,1869
04/05/2016,2495
04/06/2016,2999
04/07/2016,2722
04/08/2016,2300
04/09/2016,1594
04/10/2016,1965
04/11/2016,3204
04/12/2016,3193
04/13/2016,3830
04/14/2016,3047
04/15/2016,1957
04/16/2016,2226
04/17/2016,2617
04/18/2016,2867
04/19/2016,2791
04/20/2016,3281
04/21/2016,2487
04/22/2016,3370
04/23/2016,2297
04/24/2016,1511
04/25/2016,3884
04/26/2016,3510
04/27/2016,2002
04/28/2016,3484
04/29/2016,2882
04/30/2016,2840
05/01/2016,1655
05/02/2016,2346
05/03/2016,3406
05/04/2016,3155
05/05/2016,2940
05/06/2016,1561
05/07/2016,825
05/08/2016,862
05/09/2016,1300
05/10/2016,1036
05/11/2016,1735
05/12/2016,917
05/13/2016,1568
05/14/2016,863
05/15/2016,1006
05/16/2016,4404
05/17/2016,2536
05/18/2016,2452
05/19/2016,1786
05/20/2016,1077
05/21/2016,1289
05/22/2016,2350
05/23/2016,3005
05/24/2016,2709
05/25/2016,2908
05/26/2016,2311
05/27/2016,2232
05/28/2016,715
05/29/2016,1170
05/30/2016,2569
05/31/2016,3583
06/01/2016,3644
06/02/2016,3876
06/03/2016,3138
06/04/2016,2658
06/05/2016,2024
06/06/2016,288
06/07/2016,3783
06/08/2016,1901
06/09/2016,1361
06/10/2016,2473
06/11/2016,2441
06/12/2016,2123
06/13/2016,2164
06/14/2016,1974
06/15/2016,3273
06/16/2016,1814
06/17/2016,1771
06/18/2016,1780
06/19/2016,982
06/20/2016,1118
06/21/2016,2052
06/22/2016,1446
06/23/2016,2176
06/24/2016,1376
06/25/2016,1683
06/26/2016,1009
06/27/2016,1213
06/28/2016,108
06/29/2016,2178
06/30/2016,3106
07/01/2016,1420
07/02/2016,1396
07/03/2016,717
07/04/2016,1174
07/05/2016,2118
07/06/2016,2163
07/07/2016,1641
07/08/2016,649
07/09/2016,599
07/10/2016,774
07/11/2016,879
07/12/2016,941
07/13/2016,1159
07/14/2016,1532
07/15/2016,1156
07/16/2016,712
07/17/2016,456
07/18/2016,353
07/19/2016,1017
07/20/2016,4426
07/21/2016,1310
07/22/2016,1427
07/23/2016,1196
07/24/2016,1340
07/25/2016,1597
07/26/2016,1595
07/27/2016,1312
07/28/2016,700
07/29/2016,1155
07/30/2016,1059
07/31/2016,472
08/01/2016,1488
08/02/2016,1733
08/03/2016,1372
08/04/2016,848
08/05/2016,280
08/06/2016,812
08/07/2016,1757
08/08/2016,1035
08/09/2016,1372
08/10/2016,805
08/11/2016,792
08/12/2016,1042
08/13/2016,254
08/14/2016,769
08/15/2016,212
08/16/2016,1405
08/17/2016,605
08/18/2016,629
08/19/2016,1108
08/20/2016,712
08/21/2016,377
08/22/2016,1011
08/23/2016,1280
08/24/2016,606
08/25/2016,461
08/26/2016,980
08/27/2016,338
08/28/2016,5
08/29/2016,2734
08/30/2016,1036
08/31/2016,439
09/01/2016,595
09/02/2016,349
09/03/2016,542
09/04/2016,412
09/05/2016,876
09/06/2016,976
09/07/2016,824
09/08/2016,689
09/09/2016,1255
09/10/2016,594
09/11/2016,238
09/12/2016,671
09/13/2016,888
09/14/2016,1465
09/15/2016,1905
09/16/2016,818
09/17/2016,1184
09/18/2016,1062
09/19/2016,2539
09/20/2016,5318
09/21/2016,2413
09/22/2016,2515
09/23/2016,2744
09/24/2016,1438
09/25/2016,1814
09/26/2016,1799
09/27/2016,1717
09/28/2016,1428
09/29/2016,1565
09/30/2016,1329
