Day,Omi
02/01/2016,107
02/02/2016,88
02/03/2016,111
02/04/2016,119
02/05/2016,78
02/06/2016,54
02/07/2016,56
02/08/2016,5
02/09/2016,31
02/10/2016,86
02/11/2016,3
02/12/2016,3
02/13/2016,6
02/14/2016,34
02/15/2016,40
02/16/2016,37
02/17/2016,28
02/18/2016,20
02/19/2016,12
02/20/2016,3
02/21/2016,6
02/22/2016,29
02/23/2016,5
02/24/2016,6
02/25/2016,1
02/26/2016,29
02/27/2016,1
02/28/2016,0
02/29/2016,0
03/01/2016,1
03/02/2016,14
03/03/2016,14
03/04/2016,19
03/05/2016,5
03/06/2016,9
03/07/2016,117
03/08/2016,91
03/09/2016,37
03/10/2016,42
03/11/2016,41
03/12/2016,18
03/13/2016,5
03/14/2016,115
03/15/2016,83
03/16/2016,25
03/17/2016,89
03/18/2016,81
03/19/2016,55
03/20/2016,20
03/21/2016,161
03/22/2016,84
03/23/2016,272
03/24/2016,237
03/25/2016,214
03/26/2016,145
03/27/2016,31
03/28/2016,97
03/29/2016,182
03/30/2016,118
03/31/2016,178
04/01/2016,19
04/02/2016,106
04/03/2016,83
04/04/2016,40
04/05/2016,279
04/06/2016,314
04/07/2016,211
04/08/2016,381
04/09/2016,107
04/10/2016,233
04/11/2016,200
04/12/2016,365
04/13/2016,268
04/14/2016,0
04/15/2016,0
04/16/2016,182
04/17/2016,226
04/18/2016,257
04/19/2016,207
04/20/2016,328
04/21/2016,196
04/22/2016,351
04/23/2016,176
04/24/2016,140
04/25/2016,210
04/26/2016,319
04/27/2016,178
04/28/2016,315
04/29/2016,238
04/30/2016,386
